*ascii* And ascii table 

*ascii.txt* *ascii-table*

Control Characters

==============================================================================================
| Char | Dec | HEX | Oct | Control-Key | Control Action                                      |~
==============================================================================================
| ^    | 94  | 0x5E  | 136   | Caret (Circumflex)                |
| _    | 95  | 0x5F  | 137   | Underscore                        |~
| `    | 96  | 0x60  | 140   | Opening single quote              |
| a    | 97  | 0x61  | 141   | Lowercase a                       |~
| b    | 98  | 0x62  | 142   | Lowercase b                       |
| c    | 99  | 0x63  | 143   | Lowercase c                       |~
| d    | 100 | 0x64  | 144   | Lowercase d                       |
| e    | 101 | 0x65  | 145   | Lowercase e                       |~
| f    | 102 | 0x66  | 146   | Lowercase f                       |
| g    | 103 | 0x67  | 147   | Lowercase g                       |~
| h    | 104 | 0x68  | 150   | Lowercase h                       |
| i    | 105 | 0x69  | 151   | Lowercase i                       |~
| j    | 106 | 0x6A  | 152   | Lowercase j                       |
| k    | 107 | 0x6B  | 153   | Lowercase k                       |~
| l    | 108 | 0x6C  | 154   | Lowercase l                       |
| m    | 109 | 0x6D  | 155   | Lowercase m                       |~
| n    | 110 | 0x6E  | 156   | Lowercase n                       |
| o    | 111 | 0x6F  | 157   | Lowercase o                       |~
| p    | 112 | 0x70  | 160   | Lowercase p                       |
| q    | 113 | 0x71  | 161   | Lowercase q                       |~
| r    | 114 | 0x72  | 162   | Lowercase r                       |
| s    | 115 | 0x73  | 163   | Lowercase s                       |~
| t    | 116 | 0x74  | 164   | Lowercase t                       |
| u    | 117 | 0x75  | 165   | Lowercase u                       |~
| v    | 118 | 0x76  | 166   | Lowercase v                       |
| w    | 119 | 0x77  | 167   | Lowercase w                       |~
| x    | 120 | 0x78  | 170   | Lowercase x                       |
| y    | 121 | 0x79  | 171   | Lowercase y                       |~
| z    | 122 | 0x7A  | 172   | Lowercase z                       |
| {    | 123 | 0x7B  | 173   | Opening curly brace               |~
| |    | 124 | 0x7C  | 174   | Vertical line                     |
| }    | 125 | 0x7D  | 175   | Cloing curly brace                |~
| ~    | 126 | 0x7E  | 176   | Tilde (approximate)               |
| DEL  | 127 | 0x7F  | 177   | Delete (rubout), cross-hatch box  |~
=================================================================
